Iteration                Wall_Time                Samples                  Samples_Per_Second       Resume_Count             Peak_GPU_Memory_MB       Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Critic_Grad_Norm         Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Actor_Grad_Norm          Policy_Kl                Action_Mean_Update_Rms   Action_Mean_Bound_Frac   Actor_First_Layer_Grad_NormDisc_Loss                Disc_Cls_Loss            Disc_Grad_Penalty        Disc_Grad_Penalty_Neg    Disc_Grad_Penalty_Pos    Disc_Logit_Loss          Disc_Logit_Reg_Loss      Disc_Pos_Acc             Disc_Neg_Acc             Disc_Pos_Logit           Disc_Neg_Logit           Disc_Param_Grad_Norm     Adv_Mean                 Adv_Std                  Disc_Reward_Mean         Disc_Reward_Std          Root_Pos_Err             Root_Rot_Err             Body_Pos_Err             Body_Rot_Err             Dof_Vel_Err              Root_Vel_Err             Root_Ang_Vel_Err         Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.002680338290002611     131072                   13583.69166485079        0                        2478.51953125            0.0                      16.456619262695312       12426                    0.0                      14.776321411132812       5803                     833.70458984375          777.9630737304688        -0.003240124089643359    0.028411865234375        1.0006884336471558       0.0                      3.185882329940796        0.0049459729343652725    0.000939795165322721     0.0                      0.5657869577407837       2.247217893600464        0.4624251425266266       2.56170654296875         4.762796401977539        0.3606165051460266       152.86216735839844       1.5286216735839844       0.6875                   0.9092082977294922       0.0035428949631750584    -10.44390869140625       3.5697553157806396       35.92820739746094        20.594133377075195       6.197233200073242        3.2290163040161133       0.2715406119823456       0.5427217483520508       0.25120431184768677      0.9799858331680298       1.2793134450912476       0.49392709136009216      1.0786770582199097       0.3726850152015686       0.27415749430656433      1.0                      
100                      0.07311254998048146      13238272                 51693.79720947224        0                        2509.00244140625         0.0                      18.370656967163086       9726                     0.0                      19.265262603759766       677748                   0.0262808408588171       0.1184750497341156       -0.001205990556627512    0.06519164890050888      0.9997373819351196       0.0                      3.770289182662964        0.007159842178225517     0.0011307294480502605    0.0                      0.6794210076332092       0.883109450340271        0.051126785576343536     0.44654491543769836      0.7827841639518738       0.11030568182468414      78.73281860351562        0.78732830286026         1.0                      1.0                      2.3634486198425293       -5.472462177276611       0.21725887060165405      0.0011740452609956264    0.162761390209198        0.035499103367328644     0.051199737936258316     0.22752121090888977      0.35847988724708557      0.19914580881595612      0.7405380606651306       1.1427714824676514       0.4256778955459595       0.8694928288459778       0.36476829648017883      0.2601621747016907       1.0                      
200                      0.1435118179851108       26345472                 51717.91983640501        0                        2509.00244140625         0.0                      20.840293884277344       10294                    0.0                      21.16757583618164        616607                   0.06442921608686447      0.1946786642074585       -0.0008634410914964974   0.09721527248620987      0.999664306640625        0.0                      4.846316814422607        0.008607890456914902     0.0012398092076182365    0.0                      0.9984561800956726       0.4816710352897644       0.0324019156396389       0.401041179895401        0.5898887515068054       0.21219347417354584      40.91650390625           0.40916505455970764      1.0                      1.0                      3.0918304920196533       -5.800217628479004       0.19251078367233276      -0.0011328640393912792   0.2548859417438507       0.062231458723545074     0.10844724625349045      0.20233584940433502      0.31193146109580994      0.14911222457885742      0.5448830723762512       0.9725926518440247       0.3802970051765442       0.7623781561851501       0.36209309101104736      0.2583838403224945       1.0                      
300                      0.21397390259636773      39452672                 51671.82498178236        0                        2509.00244140625         0.0                      23.255596160888672       7641                     0.0                      24.012569427490234       543115                   0.2085970640182495       0.366797536611557        -0.0015848871553316712   0.11195220798254013      1.0001006126403809       0.0                      6.119955539703369        0.009117836132645607     0.0012760043609887362    0.0                      1.2260446548461914       0.28924813866615295      0.03510815277695656      0.39377057552337646      0.5637786388397217       0.2237626016139984       21.476289749145508       0.2147628664970398       1.0                      0.9995288848876953       3.2793993949890137       -5.834952354431152       0.1721057891845703       0.0019226600416004658    0.4584508538246155       0.09634049236774445      0.17044737935066223      0.16983212530612946      0.2741314172744751       0.11589716374874115      0.41560959815979004      0.8376779556274414       0.33810555934906006      0.6481094360351562       0.35907867550849915      0.25894856452941895      1.0                      
400                      0.28423236105177135      52559872                 51821.57258265167        0                        2509.28369140625         0.0                      26.939714431762695       9869                     0.0                      28.576778411865234       455778                   0.40502578020095825      0.5639171600341797       -0.003404073417186737    0.10085449367761612      0.9997541308403015       0.0                      6.236918926239014        0.007208645343780518     0.0011345759266987443    0.0                      1.6607909202575684       0.19406074285507202      0.038411255925893784     0.39342907071113586      0.567897379398346        0.21896077692508698      11.630655288696289       0.11630656570196152      1.0                      0.9991722106933594       3.2828893661499023       -5.757953643798828       0.1391836702823639       -0.00910172425210476     0.6384204030036926       0.09953368455171585      0.17227692902088165      0.14296402037143707      0.20124691724777222      0.0848938375711441       0.3029933273792267       0.7545684576034546       0.2744591534137726       0.5577720999717712       0.35640913248062134      0.2607123553752899       1.0                      
500                      0.35422363572650484      65667072                 52019.39580196381        0                        2509.28369140625         0.0                      29.401111602783203       10391                    0.0                      32.11370086669922        405362                   0.42408785223960876      0.6803305149078369       -0.0009667646372690797   0.11415252834558487      0.9997578859329224       0.0                      7.006910800933838        0.008510145358741283     0.0012327496660873294    0.0                      1.6458250284194946       0.14585880935192108      0.03980739414691925      0.3949613869190216       0.5689616799354553       0.2209610641002655       6.6555280685424805       0.06655526906251907      1.0                      0.9993343353271484       3.2714405059814453       -5.742001533508301       0.115353524684906        0.013911399990320206     0.6529443860054016       0.09496333450078964      0.15634140372276306      0.13428156077861786      0.18868446350097656      0.07886394113302231      0.27724069356918335      0.7079413533210754       0.25267088413238525      0.5266732573509216       0.35444870591163635      0.2626017928123474       1.0                      
600                      0.42418324609597524      78774272                 52042.94248027653        0                        2509.28369140625         0.0                      30.758190155029297       9855                     0.0                      33.68864059448242        386339                   0.37060171365737915      0.7814688682556152       -0.002279236214235425    0.09908447414636612      0.9992861747741699       0.0                      6.268345832824707        0.008830615319311619     0.0012557475129142404    0.0                      1.7213233709335327       0.12150416523218155      0.039983849972486496     0.4016403555870056       0.566096305847168        0.23718442022800446      4.135629177093506        0.041356295347213745     1.0                      0.9995002746582031       3.2897274494171143       -5.699231147766113       0.10285316407680511      0.011108649894595146     0.6104781031608582       0.09428662806749344      0.14859206974506378      0.1165878102183342       0.16765210032463074      0.06945756077766418      0.24059484899044037      0.6617452502250671       0.22874803841114044      0.4920213222503662       0.35300853848457336      0.26422250270843506      1.0                      
700                      0.49415623472796544      91881472                 52032.98949666509        0                        2509.28369140625         0.0                      32.404998779296875       10057                    0.0                      35.289310455322266       368640                   0.30745360255241394      0.7286995649337769       -0.0024439615663141012   0.10989990085363388      1.0000392198562622       0.0                      6.8666582107543945       0.010807407088577747     0.0013892082497477531    0.0                      1.7640693187713623       0.1071421355009079       0.03888816013932228      0.3980873227119446       0.5620823502540588       0.23409222066402435      2.8445258140563965       0.028445256873965263     1.0                      0.9996070861816406       3.3223791122436523       -5.705984592437744       0.0931851714849472       0.002186767291277647     0.5553627610206604       0.08999282866716385      0.13836760818958282      0.11187595874071121      0.1576147973537445       0.06425689905881882      0.22100390493869781      0.6186929941177368       0.22032314538955688      0.45166581869125366      0.3519607186317444       0.2654417157173157       1.0                      
800                      0.5654651964373059       104988672                51058.14775912139        0                        2509.28369140625         0.0                      33.28813552856445        9635                     0.0                      36.594627380371094       355435                   0.282795250415802        0.9392469525337219       -0.0012071634409949183   0.11536254733800888      0.9997653365135193       0.0                      6.981758117675781        0.008550606667995453     0.001235678093507886     0.0                      2.013659715652466        0.10024841129779816      0.0385688841342926       0.4005091190338135       0.5685371160507202       0.23248103260993958      2.162862539291382        0.021628625690937042     1.0                      0.9996299743652344       3.3554887771606445       -5.592484951019287       0.08893637359142303      0.00847698375582695      0.5330837965011597       0.0897250771522522       0.13488131761550903      0.11049112677574158      0.1540079563856125       0.06189091503620148      0.21528348326683044      0.6038058996200562       0.22119294106960297      0.4364708960056305       0.351453572511673        0.2660771608352661       1.0                      
900                      0.6390835930241479       118095872                49456.43329619236        0                        2509.28369140625         0.0                      33.58353042602539        9117                     0.0                      37.888702392578125       343189                   0.2499222606420517       0.86627197265625         -0.001894471817649901    0.12392731010913849      0.9993813633918762       0.0                      7.292298793792725        0.00896146334707737      0.0012650145217776299    0.0                      2.5651416778564453       0.09742856025695801      0.038481540977954865     0.41028040647506714      0.5816138386726379       0.2389470338821411       1.7918975353240967       0.01791897602379322      1.0                      0.9996719360351562       3.3687660694122314       -5.425325393676758       0.08895432204008102      -0.000919256592169404    0.5011506676673889       0.08994261920452118      0.12899340689182281      0.10634337365627289      0.14442381262779236      0.05940348654985428      0.2059643715620041       0.5825517773628235       0.21659407019615173      0.41741037368774414      0.351453572511673        0.2660771608352661       1.0                      
